score,review
3.0 out of 5 stars,"
  I'm 5'8"" and got the medium. Fit is good overall but the sleeves are too tight. Not so tight as to ruin the shirt but a little annoying. So the medium is a bit small on me overall, but I'm sure the large would be too large. As with most shirts. Fabric is a tiny bit on thin side but not enough to be a problem. I like the Comfortably Collared polo fabric better, but as of this date, those are available in very few colors.
"
5.0 out of 5 stars,"
  So glad i got these for my son that is 5ft 135pds i got the small because hes 10 yr old built like a 13 yr old. Its hard finding the perfect fit. But these are that perfect fit! They are long and the collar isnt to big like usual mens shirts on a kid. Toatally awsome for those football defense built boys!
"
4.0 out of 5 stars,"
  The quality is pretty good for what you’re spending. I bought a couple of these for a job uniform. They wash and wear well. I thought it may shrink after first wash, but not at all.<br><br>What I like most is they don’t really get dirty or wet. Literally spilled some of my lunch onnthe shirt when someone accidentally bumped me, and it didn’t leave a stain on it when I cleaned myself off. Also, I got caught up working outside when it started pouring rain and the shirt didn’t really even get soaked and barely wet. Rain drops beaded up onnthe shirt. When I got out of the rain, I pulled the shirt off and shook it; and the beaded up rain drops just fell/flew off..<br><br>Will definitely buy a few more soon, so I won’t  have to wear any of my ‘nicer’ polos to work anymore.
"
5.0 out of 5 stars,"
  I bought this one for my husband. The price was very cheap so we were hesitating about the quality, but we decided to try with a black one, he loved it so much because is like wearing a t-shirt but with a bit more style, we are leaving in Texas, the fabric is awesome for being comfortable in a hot weather. So after the black one, we bought a charcoal one, we confirmed it was following the same standards of the black one, then we decided to buy more colors and an extra black!!! Now he is plenty of these polos, he can wear them for going to office and for the weekends, he can wear them with jeans, with dockers or more formal pants and those fit with everything!!
"
5.0 out of 5 stars,"
  I've bought a half-dozen of these shirts in various colors and LOVE them. Very comfortable, and perfect for winter in Arizona (daytime highs in 50s and 60s).  I'm 6'5"", and take a 36"" sleeve in dress shirts, and these shirts (XL size) are long enough in both the body and sleeves without needing Tall sizes.  No shrinkage to speak of after multiple washings. Two thumbs up!
"
5.0 out of 5 stars,"
  My teen son, who is on the autism spectrum, is extremely picky about fabrics, so I don't often buy clothing online for him. However, he had to have slightly dressier shirts than his usual screen print t-shirts for a trip with his school, and so I ordered him a few polo shirts from Amazon. This particular shirt was so soft, so comfortable, that he texted me the first day he wore it in Europe to thank me for buying ""the green collared shirt."" Thank you, Jerzees!
"
5.0 out of 5 stars,"
  Some of the reviews with pictures show tears in the fabric and claim it was very cheap but my experience has not been as such. My job requires us to wear polos to work and cover up tattoos so these longsleeve polos have been fantastic. I own the black navy and gray ones and they're comfortable despite being 50% polyester, which mind you is definitely not the most comfortable material but this feels fine. I only ever use these for work, but if you want to go out and look a little better than just a casual T-shirt these also look fantastic.<br><br>I've bought polos where the wrist tends to be too loose but this one hugs around it very nicely and gives it a nice fit. So far so good, definitely ordering more
"
3.0 out of 5 stars,"
  I’m not very impressed with this shirt, but you get what you pay for. The quality is meh- okay as a back up when my better shirts are in the wash. Thin enough that you can see my tattoos thru the sleeves, so maybe use that in making a decision.
"
5.0 out of 5 stars,"
  This is a very nice looking white polo shirt. The thickness is perfect! It is comfortable and thick enough so it is not see-through. The stitching is well done and this shirt has held up nicely in the wash. The collar does not curl  in the wash which is really nice. It seems to be stain resistant. The fit is true to size. I purchased it for someone who is 6 ft 5 and it fits him perfectly. This is a high-quality shirt.
"
5.0 out of 5 stars,"
  I paid about $8.50 for this polo shirt from Amazon.  It is 50% cotton / 50% polyester.  Overall,  the shirt fits as expected and is a great value for the price.<br><br>Don't pretend you didn't know what you were getting.  Of course 100% cotton is more breathable.  It also shrinks.  The 50/50 blend does not and the shirt feels just fine.
"
5.0 out of 5 stars,"
  I work in warehouse where the men are expected to wear collared shirts. It is almost summer and it is getting very hot. I wanted to get some polo shirts that were more of a t-shirt fabric. This polo is very thin and semi see through but its exactly what I needed for its intended purpose. I didn't want to purchase your traditional polo that is usually thicker. This polo is definitely light and still looks great. I don't have to wear an under shirt because since it is light and more of a t-shirt material it does not irritate my skin or make me itch. I recommend this polo if you want to still look semi business casual. I washed them with my other work clothing and dried them on a delicate setting(low heat). It didn't shrink that much but I'm not sure how much it will shrink if you dry on a different dryer setting.
"
5.0 out of 5 stars,"
  Good-looking long sleeve white polo shirt. I bought this for someone who is hard to size. He is 6 ft 5 in and lifts weights. This fit well in the chest and in the waist. Usually if it fits the chest then the waist is big but this was just right. It is been washed and it has held its shape nicely and remains nice and white. The quality on the shirt is terrific and the thickness of the material is nice.
"
5.0 out of 5 stars,"
  I ordered 5 of these for the summer. I've had them for about 3 months. I wear each one about once a week. They're already showing significant wear and pills everywhere. You do have to iron them. This is very disappointing, especially because I hang dry them. Next summer I'll definitely spend more money to buy a higher quality material that will last more than 1 season.
"
5.0 out of 5 stars,"
  This type of shirt is a better work shirt than the full button up shirt because it doesn't bind which allows better movement. I doesn't shrink around the neck causing an uncomfortable restriction around the neck. The full coverage prevents sunburn,especially on the back of the neck.
"
5.0 out of 5 stars,"
  This shirt is made from thin material so it's fine for cool weather. Thicker fabric is sometimes is often too hot for fall/spring.  fits great. I also splashed some food on it and it came off without being absorbed. Have not washed it yet, so this feature may change over time. The price is low, so my expectations are modest.
"
3.0 out of 5 stars,"
  I don't quite know why I bought these shirts in a 50% cotton blend when what I needed was a 100% synthetic, moisture wicking fabric. And sure enough, it goes to show, cotton drags down a fabric's performance in summertime heat and humidity, but synthetics save the day. With full-on synthetic shirts, sweat doesn't show, and it's drawn away to the outside where it can evaporate. Almost any stains will disappear after a few washings. And they dont fade; they last years and years even with daily use. These shirts approximate all that but they are hotter on, they will stain, they do show sweat, and they are heavier and more stifling than I am used to. And the whole evaporative cooling effect that makes me go ""Aaaah!"" when the slightest breeze comes along just isn't there. These are more for light indoor work with only occasional outdoor exposure.
"
