score,review
5.0 out of 5 stars,"
  Compré talla M. Es más bonita cuando la ves físicamente que en las fotos, el color es increíble. Es corte ""regular"", súper fresca.
"
3.0 out of 5 stars,"
  Esta polo de liquid touch no tiene nada que ver , es la tela norma como cualquiera, nada que ver con las liquid touch
"
4.0 out of 5 stars,"
  Excelente. Muy cómoda, suave y fresca no es tan delgada.
"
5.0 out of 5 stars,"
  Es cómoda, buenos materiales, no queda ajustada a como luce en el modelo pero está genial
"
3.0 out of 5 stars,"
  El color es mucho más claro que en la imagen y la talla S es muy amplia<br>Es de buena calidad
"
5.0 out of 5 stars,"
  Excele calidad, en cuanto a originalidad todo en orden, viene un poco amplia pero es una excelente compra
"
5.0 out of 5 stars,"
  Excelente calidad, muy bonita, la tela es muy suave, el tamaño viene  confirme a la talla, excelente compra.
"
1.0 out of 5 stars,"
  La talla esta bien un poco mas larga de lo normal y el color no es un rojo es como color salmon no me gusto
"
5.0 out of 5 stars,"
  El producto queda muy bien
"
5.0 out of 5 stars,"
  Excelente producto
"
5.0 out of 5 stars,"
  Muy buen producto como siempre.
"
4.0 out of 5 stars,"
  Pedi talla chica pero viene muy amplia, la tuve que vender a un amigo talla M
"
5.0 out of 5 stars,"
  Excelente producto, lo recomiendo ampliamente. Talla adecuada y material padrísimo!
"
5.0 out of 5 stars,"
  Mi esposo encantado con su regalo, la textura de la playera es excelente!
"
2.0 out of 5 stars,"
  no se parece al color de la foto que están vendiendo
"
5.0 out of 5 stars,"
  Muy suave algo grueso pero muy buen producto
"
5.0 out of 5 stars,"
  Me gusto mucho la playera muy cómoda y la talla es perfecta.
"
5.0 out of 5 stars,"
  Calidad
"
1.0 out of 5 stars,"
  La tela me gusto mucho, pero se equivocarón en la talla
"
5.0 out of 5 stars,"
  Calidad de tela buena todo como lo esperaba
"
1.0 out of 5 stars,"
  Me envíaron una playera de otro color
"
3.0 out of 5 stars,"
  No me mandaron el estilo qué pedí
"
5.0 out of 5 stars,"
  Me encanto súper buena calidad y llego en 3 días
"
1.0 out of 5 stars,"
  No es el color anunciado
"
5.0 out of 5 stars,"
  Justo lo que esperaba, súper cómodo
"
5.0 out of 5 stars,"
  Muy buena calidad y buen producto.
"
5.0 out of 5 stars,"
  Muy bien
"
5.0 out of 5 stars,"
  Perfecto!
"
5.0 out of 5 stars,"
  Excellent nice and light feels great
"
