score,review
5.0 out of 5 stars,"
  Nice fit and feel
"
3.0 out of 5 stars,"
  Good Shirt
"
4.0 out of 5 stars,"
  Great quality but too long and loose around waist
"
5.0 out of 5 stars,"
  Looks and fits great tucked in.
"
5.0 out of 5 stars,"
  Fits great
"
5.0 out of 5 stars,"
  Excellent shirt
"
4.0 out of 5 stars,"
  Not bad but it is a bit loose , buy half a size smaller than your actual size , quality is good and very comfortable , packiging and delivery were excellent
"
5.0 out of 5 stars,"
  Great Shirt
"
5.0 out of 5 stars,"
  Perfect shirt, perfect size and fit, reasonable cost, no hunting in store for right size and style.
"
5.0 out of 5 stars,"
  Exactly as show in photo
"
5.0 out of 5 stars,"
  Like
"
1.0 out of 5 stars,"
  Very poor quality have always bought Van Huesen maybe not anymore!
"
5.0 out of 5 stars,"
  WOULD WOULD BUY AGAIN.  NICE SHIRT!
"
5.0 out of 5 stars,"
  Excellent, Thanks, Michael, 2019
"
4.0 out of 5 stars,"
  I have been buying Van Huesen shirts for a long time. They are good to wear.
"
4.0 out of 5 stars,"
  Very good quality and good price. Fits as expected
"
5.0 out of 5 stars,"
  Good feel, soft material, easy to iron and looks sharp
"
5.0 out of 5 stars,"
  Really nice shirt.
"
2.0 out of 5 stars,"
  I got one but the size is completely not fitting for me.
"
5.0 out of 5 stars,"
  The shirt
"
2.0 out of 5 stars,"
  Opened the package, put the shirt in the wash, cuffs shredded. Poor stitching quality. I thought about reaching out to the manufacturer before posting a review but really they should do quality testing before they ship these things out. My wife is working on stitching up the cuffs.
"
3.0 out of 5 stars,"
  Nice looking dress shirt, but needs to be ironed 😕
"
5.0 out of 5 stars,"
  size was exactly correct
"
4.0 out of 5 stars,"
  shirt fits fine
"
5.0 out of 5 stars,"
  The blue stripes are quite clear, soft blue.
"
2.0 out of 5 stars,"
  Really did not like the way this fit. Much to big
"
4.0 out of 5 stars,"
  It washes well and doesn't shrink at all. Still looks good after two washings.
"
4.0 out of 5 stars,"
  I'm generally pretty happy with Van Heusen shirts, and this is no exception. Works with both dress pants and jeans. If they ever come up with a shirt that irons itself, I'll bump the review up to five stars.
"
5.0 out of 5 stars,"
  Really like the color of this shirt
"
5.0 out of 5 stars,"
  It's great
"
5.0 out of 5 stars,"
  Good fit, good material.
"
5.0 out of 5 stars,"
  Fits well, very attractive, soft and comfortable material. Would buy again.
"
5.0 out of 5 stars,"
  Basic dress shirt that fits perfectly. Comfortable breathable material.
"
5.0 out of 5 stars,"
  Like the quality and variety of colors and print.
"
5.0 out of 5 stars,"
  Fits well and I like it
"
5.0 out of 5 stars,"
  Product was satisfactory.  Met my expectations.  Thanks
"
5.0 out of 5 stars,"
  Great shirt with a perfect fit
"
4.0 out of 5 stars,"
  A little too wide, it is a regular fit but still a little wide even for that. Great quality and look though
"
5.0 out of 5 stars,"
  I love the shirt. It is comfortable and looks great with navy slacks. I live in South Georgia, so it's definitely not a summer shirt. It fits as expected.
"
5.0 out of 5 stars,"
  It fit as expected, but as a tall person it is a tad shorter than I want, but not so bad that it renders the shirt unwearable.
"
4.0 out of 5 stars,"
  Nice ... would've given it 5 stars but the sleeve length was just a tad short (but acceptable).  If you are on-the-fence between sleeve length options, go with the longer sleeve.  Otherwise, fits well and looks good.
"
1.0 out of 5 stars,"
  Quality is not so good and strands of thread are coming out on many places of the shirt.
"
3.0 out of 5 stars,"
  It is not really easy care. It definitely needs ironing after washing and drying. I don’t consider that easy care.
"
5.0 out of 5 stars,"
  Great shirt, great price, bought a second shirt!
"
5.0 out of 5 stars,"
  These are a great value. You could easily pay two or three times as much for a shirt of this quality. I am wearing one right now.
"
1.0 out of 5 stars,"
  Spend a bit more and get a good fit at others.  The Van Heusen  brand has obviously gone the way of what once were 1st class producers such as Bell and Howell, Arrow, etc.
"
5.0 out of 5 stars,"
  good product
"
1.0 out of 5 stars,"
  I wore this shirt three times and the sleeve stitching completely unraveled.  Poor quality.
"
5.0 out of 5 stars,"
  Good
"
1.0 out of 5 stars,"
  I have always like Van Heusen shirts, and have been buying them for many years. This particular shirt was on sale and probably because  it has issues. After the very first wash the  cuffs came apart, it turned out to be a wear once shirt.
"
5.0 out of 5 stars,"
  Fit is perfect, colors vibrant, and tailoring is very good.
"
5.0 out of 5 stars,"
  Quality and perfect size
"
5.0 out of 5 stars,"
  Fabric: soft, neck: just right
"
5.0 out of 5 stars,"
  Great quality at a more than reasonable price!
"
